offer_id,hotel_id,provider_name,date_scraped,price_eur,room_type,hotel_avg_price,is_outlier
1,1,Hotels.com,2026-01-01,137.23,Suite,182.93385057471266,False
2,1,Hotels.com,2026-01-08,148.68,Standard,182.93385057471266,False
3,1,Hotels.com,2026-01-15,147.46,Standard,182.93385057471266,False
4,1,Hotels.com,2026-01-22,140.11,Standard,182.93385057471266,False
5,1,Hotels.com,2026-01-29,130.19,Deluxe,182.93385057471266,False
6,1,Hotels.com,2026-02-05,144.36,Standard,182.93385057471266,False
7,1,Hotels.com,2026-02-12,124.59,Deluxe,182.93385057471266,False
8,1,Hotels.com,2026-02-19,129.97,Standard,182.93385057471266,False
9,1,Hotels.com,2026-02-26,135.55,Standard,182.93385057471266,False
10,1,Hotels.com,2026-03-05,125.11,Suite,182.93385057471266,False
11,1,Hotels.com,2026-03-12,132.55,Deluxe,182.93385057471266,False
12,1,Hotels.com,2026-03-19,141.45,Deluxe,182.93385057471266,False
13,1,Hotels.com,2026-03-26,131.25,Standard,182.93385057471266,False
14,1,Hotels.com,2026-04-02,141.8,Standard,182.93385057471266,False
15,1,Hotels.com,2026-04-09,152.32,Standard,182.93385057471266,False
16,1,Hotels.com,2026-04-16,138.75,Deluxe,182.93385057471266,False
17,1,Hotels.com,2026-04-23,141.67,Standard,182.93385057471266,False
18,1,Hotels.com,2026-04-30,144.63,Deluxe,182.93385057471266,False
19,1,Hotels.com,2026-05-07,133.15,Standard,182.93385057471266,False
20,1,Hotels.com,2026-05-14,141.49,Standard,182.93385057471266,False
21,1,Hotels.com,2026-05-21,132.99,Suite,182.93385057471266,False
22,1,Hotels.com,2026-05-28,138.25,Standard,182.93385057471266,False
23,1,Hotels.com,2026-06-04,142.59,Suite,182.93385057471266,False
24,1,Hotels.com,2026-06-11,130.48,Standard,182.93385057471266,False
25,1,Hotels.com,2026-06-18,120.32,Standard,182.93385057471266,False
26,1,Hotels.com,2026-06-25,129.88,Standard,182.93385057471266,False
27,1,Hotels.com,2026-07-02,143.68,Standard,182.93385057471266,False
28,1,Hotels.com,2026-07-09,129.09,Standard,182.93385057471266,False
29,1,Hotels.com,2026-07-16,143.25,Deluxe,182.93385057471266,False
30,1,Hotels.com,2026-07-23,129.91,Standard,182.93385057471266,False
31,1,Hotels.com,2026-07-30,134.6,Standard,182.93385057471266,False
32,1,Hotels.com,2026-08-06,136.02,Standard,182.93385057471266,False
33,1,Hotels.com,2026-08-13,129.06,Standard,182.93385057471266,False
34,1,Hotels.com,2026-08-20,134.67,Standard,182.93385057471266,False
35,1,Hotels.com,2026-08-27,125.47,Standard,182.93385057471266,False
36,1,Expedia,2026-01-01,141.08,Standard,182.93385057471266,False
37,1,Expedia,2026-01-08,157.07,Standard,182.93385057471266,False
38,1,Expedia,2026-01-15,137.56,Deluxe,182.93385057471266,False
39,1,Expedia,2026-01-22,159.54,Standard,182.93385057471266,False
40,1,Expedia,2026-01-29,154.39,Standard,182.93385057471266,False
41,1,Expedia,2026-02-05,140.36,Deluxe,182.93385057471266,False
42,1,Expedia,2026-02-12,149.12,Standard,182.93385057471266,False
43,1,Expedia,2026-02-19,147.29,Suite,182.93385057471266,False
44,1,Expedia,2026-02-26,149.86,Standard,182.93385057471266,False
45,1,Expedia,2026-03-05,154.68,Standard,182.93385057471266,False
46,1,Expedia,2026-03-12,131.98,Standard,182.93385057471266,False
47,1,Expedia,2026-03-19,157.51,Standard,182.93385057471266,False
48,1,Expedia,2026-03-26,134.86,Standard,182.93385057471266,False
49,1,Expedia,2026-04-02,155.6,Deluxe,182.93385057471266,False
50,1,Expedia,2026-04-09,152.52,Deluxe,182.93385057471266,False
51,1,Expedia,2026-04-16,142.04,Standard,182.93385057471266,False
52,1,Expedia,2026-04-23,146.46,Standard,182.93385057471266,False
53,1,Expedia,2026-04-30,163.91,Suite,182.93385057471266,False
54,1,Expedia,2026-05-07,157.13,Deluxe,182.93385057471266,False
55,1,Expedia,2026-05-14,155.04,Deluxe,182.93385057471266,False
56,1,Expedia,2026-05-21,151.97,Standard,182.93385057471266,False
57,1,Expedia,2026-05-28,153.41,Standard,182.93385057471266,False
58,1,Expedia,2026-06-04,153.42,Standard,182.93385057471266,False
59,1,Expedia,2026-06-11,135.42,Standard,182.93385057471266,False
60,1,Expedia,2026-06-18,144.55,Deluxe,182.93385057471266,False
61,1,Expedia,2026-06-25,161.18,Deluxe,182.93385057471266,False
62,1,Expedia,2026-07-02,158.79,Deluxe,182.93385057471266,False
63,1,Expedia,2026-07-09,158.72,Standard,182.93385057471266,False
64,1,Expedia,2026-07-16,150.19,Deluxe,182.93385057471266,False
65,1,Expedia,2026-07-23,151.63,Standard,182.93385057471266,False
66,1,Expedia,2026-07-30,139.0,Standard,182.93385057471266,False
67,1,Expedia,2026-08-06,148.09,Suite,182.93385057471266,False
68,1,Expedia,2026-08-13,155.33,Standard,182.93385057471266,False
69,1,Expedia,2026-08-20,150.53,Deluxe,182.93385057471266,False
70,1,Expedia,2026-08-27,147.17,Deluxe,182.93385057471266,False
